Battery Voltage (V),Battery Current (A),Battery Temperature (°C),Battery Health (%),Charging Cycles,State of Charge (SOC %),State of Health (SOH %),Motor Temperature (°C),Status
417,36,59,80,1028,93,84,99,High
281,2,4,41,0,10,29,11,Low
352,19,28,81,392,64,89,21,Normal
301,4,3,24,0,12,19,19,Low
323,5,10,65,136,44,77,64,Normal
364,14,12,54,723,72,62,67,Normal
420,36,45,71,1542,96,99,90,High
295,4,2,29,0,15,44,18,Low
407,21,49,79,1553,96,95,72,High
318,1,9,27,0,10,29,14,Low
382,31,54,95,1822,93,57,99,High
307,4,3,47,0,5,40,10,Low
380,28,50,65,1633,97,77,99,High
288,3,9,19,0,8,20,14,Low
284,3,2,44,0,7,41,13,Low
419,38,45,66,1151,95,78,80,High
355,15,14,93,318,41,70,68,Normal
413,36,42,76,1717,99,57,71,High
290,2,2,16,0,16,27,14,Low
406,21,51,90,1312,92,85,100,High
323,19,33,68,694,68,78,37,Normal
405,40,49,82,1614,97,70,72,High
311,4,8,45,0,15,49,14,Low
397,22,49,67,1888,93,71,89,High
395,31,54,71,1075,98,71,85,High
312,3,1,30,0,1,38,18,Low
290,1,0,42,0,11,36,14,Low
283,3,0,20,0,17,49,10,Low
362,10,39,67,786,58,89,62,Normal
383,25,59,73,1272,98,89,74,High
344,14,23,100,482,40,78,54,Normal
406,26,47,67,1073,99,68,78,High
308,1,5,11,0,11,15,10,Low
322,19,15,99,369,40,68,69,Normal
310,3,2,20,0,17,19,19,Low
356,14,33,81,26,73,92,34,Normal
316,1,0,26,0,3,27,16,Low
289,3,2,44,0,9,16,11,Low
403,27,49,95,1727,95,88,79,High
362,16,18,94,631,51,66,41,Normal
336,19,22,83,128,59,97,49,Normal
343,20,15,88,670,64,91,67,Normal
344,15,34,70,347,21,74,66,Normal
386,24,57,100,1345,94,63,86,High
383,32,60,55,1030,93,60,90,High
288,1,1,12,0,1,41,16,Low
306,3,3,21,0,3,17,11,Low
340,6,13,83,303,44,78,38,Normal
374,27,53,90,1158,91,78,98,High
355,13,27,79,973,20,92,38,Normal
352,12,17,96,887,65,63,34,Normal
304,3,3,19,0,13,30,19,Low
362,13,20,69,310,83,81,50,Normal
327,10,23,71,153,78,83,57,Normal
295,3,0,22,0,9,15,10,Low
323,5,31,67,198,75,58,35,Normal
314,4,3,27,0,5,23,12,Low
310,3,4,18,0,6,22,10,Low
359,18,18,84,587,35,100,41,Normal
298,4,8,11,0,18,43,19,Low
389,22,55,90,1231,97,77,100,High
419,29,53,99,1278,93,100,80,High
368,9,10,69,765,26,59,33,Normal
326,5,29,67,443,23,76,39,Normal
405,39,59,64,1009,97,99,71,High
323,7,35,50,656,33,67,70,Normal
346,13,13,53,859,47,77,65,Normal
288,1,6,37,0,2,41,10,Low
300,1,1,15,0,11,31,12,Low
412,28,50,89,1175,94,50,78,High
412,31,60,51,1869,100,81,74,High
297,1,2,15,0,13,44,11,Low
387,21,54,82,1703,95,78,80,High
309,1,1,34,0,7,15,12,Low
408,22,43,78,1383,91,92,93,High
387,34,49,85,1650,98,93,80,High
385,34,46,55,1679,93,51,77,High
408,26,47,56,1748,96,96,75,High
307,3,0,28,0,6,35,15,Low
376,36,41,91,1485,91,73,96,High
290,2,8,41,0,2,16,18,Low
394,40,41,66,1241,97,64,86,High
387,39,50,66,1291,96,90,87,High
313,2,5,29,0,2,39,11,Low
339,5,30,66,507,71,72,29,Normal
412,29,43,82,1892,94,74,96,High
346,15,36,87,39,88,80,32,Normal
408,28,54,94,1440,94,56,94,High
286,2,0,19,0,13,14,10,Low
287,4,6,49,0,4,35,16,Low
417,34,60,92,1439,91,79,83,High
416,29,43,85,1356,93,85,83,High
327,7,13,86,739,79,87,48,Normal
319,3,0,42,0,9,43,12,Low
397,32,46,55,1886,92,86,85,High
420,31,52,79,1208,94,88,82,High
295,4,0,14,0,5,23,19,Low
371,23,51,56,1390,94,79,83,High
287,2,9,18,0,14,33,17,Low
323,6,16,92,372,24,72,48,Normal
330,13,15,85,224,58,56,42,Normal
388,27,55,97,1407,96,52,93,High
282,4,0,44,0,18,14,10,Low
408,34,42,71,1774,92,83,74,High
364,17,17,74,640,63,71,65,Normal
329,19,36,59,211,49,72,54,Normal
320,13,11,78,214,20,53,32,Normal
415,35,49,89,1743,93,88,72,High
297,2,3,47,0,7,24,18,Low
374,33,46,92,1767,98,73,85,High
399,25,47,69,1869,99,99,77,High
397,25,42,96,1185,92,73,73,High
326,10,40,72,757,70,88,53,Normal
362,11,14,81,206,45,72,26,Normal
354,19,36,84,177,48,76,29,Normal
345,9,28,61,827,56,65,70,Normal
320,17,15,85,805,70,74,57,Normal
296,3,1,42,0,2,39,19,Low
387,22,56,50,1859,94,57,81,High
317,1,0,36,0,16,28,12,Low
292,1,2,27,0,13,23,16,Low
292,4,0,39,0,16,37,17,Low
346,19,21,97,916,35,56,68,Normal
365,5,37,78,43,69,75,39,Normal
324,12,29,50,630,32,100,53,Normal
300,3,8,17,0,18,16,15,Low
381,23,53,80,1266,100,83,100,High
369,15,12,85,423,75,61,24,Normal
290,2,5,32,0,7,38,12,Low
416,25,43,90,1735,95,51,88,High
395,21,52,90,1597,97,76,75,High
330,19,13,98,454,35,79,60,Normal
357,20,24,80,962,35,98,27,Normal
375,40,43,60,1510,92,51,94,High
395,29,47,58,1339,97,52,77,High
300,3,8,28,0,18,21,13,Low
361,19,24,76,505,54,73,24,Normal
352,12,14,98,842,38,57,69,Normal
397,38,51,74,1755,94,67,71,High
299,1,5,11,0,9,15,19,Low
386,27,45,76,1914,95,90,77,High
382,36,42,83,1436,93,79,96,High
401,24,60,82,1050,94,81,87,High
317,2,5,35,0,5,45,12,Low
328,20,21,54,305,64,99,34,Normal
316,2,4,30,0,1,31,12,Low
369,19,23,56,540,38,78,38,Normal
384,23,51,79,1739,95,96,99,High
417,24,44,54,1525,93,54,78,High
382,22,46,86,1650,96,59,72,High
299,1,2,49,0,17,16,17,Low
297,2,7,29,0,8,32,15,Low
363,16,17,53,503,65,50,54,Normal
340,14,10,97,837,31,66,27,Normal
372,29,41,69,1227,98,95,82,High
359,14,29,66,399,77,67,33,Normal
369,14,28,64,629,49,95,59,Normal
399,23,44,78,1560,93,84,84,High
391,31,49,69,1568,98,88,77,High
345,13,30,58,535,83,50,65,Normal
412,34,56,72,1773,96,56,96,High
316,3,4,32,0,10,35,19,Low
381,36,57,99,1232,100,80,80,High
396,25,59,87,1347,95,68,97,High
303,1,9,23,0,1,48,14,Low
404,23,48,86,1382,98,61,85,High
343,6,30,98,619,37,79,64,Normal
361,15,11,86,264,39,82,42,Normal
417,37,60,52,1386,97,94,85,High
416,34,51,68,1662,93,99,85,High
287,2,6,47,0,15,15,15,Low
369,13,23,58,300,58,65,37,Normal
302,2,7,45,0,17,31,13,Low
290,3,7,40,0,2,46,14,Low
319,4,0,45,0,3,43,18,Low
281,4,4,19,0,19,20,13,Low
321,19,34,64,45,70,64,42,Normal
349,5,20,60,258,34,85,46,Normal
315,3,8,45,0,15,32,15,Low
409,26,48,91,1647,91,82,79,High
343,8,20,68,493,44,89,23,Normal
357,10,12,99,105,51,92,60,Normal
335,5,34,65,982,82,78,63,Normal
349,20,27,86,331,90,81,68,Normal
351,7,39,63,786,90,68,37,Normal
316,3,5,35,0,18,30,11,Low
364,6,35,87,628,31,99,44,Normal
385,22,43,51,1939,99,89,84,High
322,19,16,75,842,20,71,58,Normal
412,36,50,56,1035,97,99,79,High
419,26,44,95,1055,100,55,74,High
403,37,60,74,1114,96,70,84,High
292,2,7,40,0,17,40,11,Low
365,17,35,70,33,22,58,62,Normal
289,3,1,31,0,2,19,15,Low
374,30,48,71,1463,99,55,73,High
361,14,17,83,806,79,95,67,Normal
307,2,0,12,0,2,48,16,Low
384,33,42,51,1129,93,69,98,High
320,5,12,98,638,36,75,22,Normal
343,13,15,71,248,76,52,40,Normal
398,40,42,56,1855,95,73,89,High
379,31,57,99,1543,97,54,97,High
299,4,3,32,0,19,32,18,Low
282,1,4,13,0,2,43,14,Low
359,9,23,98,36,73,56,67,Normal
322,17,30,99,357,77,52,38,Normal
364,7,34,77,308,47,72,70,Normal
381,28,41,100,1491,94,79,77,High
368,16,22,73,682,86,64,52,Normal
280,2,2,12,0,18,31,13,Low
408,36,60,89,1126,98,66,95,High
334,11,31,60,459,26,98,27,Normal
329,16,39,85,692,76,95,27,Normal
298,3,4,37,0,16,15,18,Low
305,2,2,47,0,6,14,17,Low
389,36,43,68,1241,97,55,90,High
331,9,23,83,194,72,83,66,Normal
408,36,60,97,1409,93,58,77,High
303,4,1,41,0,2,32,15,Low
373,31,44,73,1539,93,82,76,High
389,37,48,63,1146,95,78,76,High
280,3,9,34,0,5,38,14,Low
296,2,3,44,0,10,46,14,Low
356,6,24,88,348,48,98,22,Normal
369,6,28,78,830,20,66,64,Normal
387,35,59,85,1701,100,66,87,High
401,28,43,56,1945,99,65,79,High
338,19,40,88,38,26,56,62,Normal
318,4,4,39,0,11,20,11,Low
393,39,55,65,1888,99,70,93,High
289,2,6,33,0,16,32,19,Low
389,24,53,62,1838,95,70,95,High
348,7,30,51,143,81,59,56,Normal
369,19,20,81,598,50,52,62,Normal
303,3,4,22,0,6,36,18,Low
315,3,1,22,0,10,23,15,Low
315,3,4,27,0,12,25,10,Low
322,14,27,97,594,82,67,52,Normal
357,16,31,56,627,60,79,25,Normal
387,31,60,100,1449,97,83,76,High
326,13,22,57,407,22,66,59,Normal
402,37,50,57,1511,91,79,88,High
379,25,52,91,1187,96,70,98,High
343,9,37,80,864,31,88,68,Normal
416,36,53,53,1390,98,97,92,High
320,16,24,68,699,70,88,45,Normal
404,21,42,53,1011,99,90,79,High
350,14,11,88,462,89,50,68,Normal
385,35,42,78,1196,96,62,74,High
335,20,29,65,143,62,80,36,Normal
373,33,56,75,1344,100,56,97,High
402,36,46,89,1715,92,99,81,High
390,29,55,60,1720,91,60,96,High
282,3,8,44,0,19,23,10,Low
295,1,4,20,0,9,31,13,Low
285,4,5,26,0,4,15,14,Low
353,6,25,86,52,87,50,25,Normal
407,25,53,83,1643,92,70,90,High
289,1,7,48,0,18,10,15,Low
383,23,42,68,1426,99,80,89,High
338,11,23,76,177,23,54,62,Normal
303,2,0,10,0,18,13,18,Low
295,4,2,45,0,17,39,16,Low
350,20,11,98,897,54,59,42,Normal
363,20,38,61,731,88,87,25,Normal
323,19,11,61,64,78,97,35,Normal
411,38,59,50,1618,95,79,72,High
371,25,45,61,1887,93,53,80,High
292,3,5,46,0,16,38,18,Low
352,8,10,59,799,50,84,39,Normal
353,7,12,76,647,69,97,45,Normal
410,29,55,75,1398,96,89,76,High
384,31,57,75,1143,100,79,98,High
314,1,8,46,0,18,33,16,Low
294,4,1,44,0,19,21,11,Low
361,19,27,69,91,34,65,54,Normal
376,29,41,55,1748,96,64,72,High
284,1,0,10,0,11,20,16,Low
409,40,43,61,1369,92,59,99,High
366,13,15,59,635,83,70,37,Normal
344,9,30,65,112,46,87,21,Normal
285,2,7,28,0,10,37,13,Low
382,31,49,95,1159,91,50,80,High
399,37,44,79,1182,96,94,88,High
398,34,46,70,1899,93,97,98,High
348,12,20,68,385,36,76,49,Normal
298,3,1,26,0,5,13,14,Low
377,34,45,97,1326,95,58,100,High
349,5,36,90,74,31,86,23,Normal
385,33,56,64,1482,92,58,96,High
342,14,10,74,213,66,66,64,Normal
414,31,51,89,1135,93,80,94,High
312,3,5,11,0,2,38,15,Low
368,7,26,70,791,40,60,59,Normal
342,13,19,68,330,75,76,34,Normal
371,35,58,95,1470,98,99,80,High
413,34,52,72,1718,93,92,71,High
294,1,7,46,0,13,49,13,Low
358,9,20,95,883,45,75,28,Normal
391,24,44,64,1562,99,79,86,High
304,4,7,17,0,7,40,10,Low
319,3,0,28,0,3,40,18,Low
378,33,46,57,1750,97,65,86,High
312,2,1,48,0,1,41,16,Low
321,8,22,56,519,38,55,65,Normal
376,37,57,96,1311,92,52,73,High
402,40,44,67,1531,97,69,81,High
302,3,1,23,0,10,31,19,Low
300,4,2,48,0,10,38,14,Low
391,23,52,92,1455,96,78,71,High
419,36,41,69,1074,96,60,93,High
381,40,45,61,1817,92,88,75,High
287,4,6,36,0,13,49,16,Low
291,1,3,14,0,6,35,19,Low
378,36,48,52,1966,91,66,81,High
325,7,40,75,620,79,63,46,Normal
322,5,22,73,696,76,55,47,Normal
283,3,0,14,0,15,24,10,Low
380,34,50,67,1211,91,98,99,High
336,19,20,95,248,78,63,63,Normal
314,1,2,48,0,1,11,19,Low
317,1,1,47,0,17,25,12,Low
364,5,37,81,216,81,77,37,Normal
392,38,48,95,1395,96,77,100,High
393,37,56,56,1442,91,99,99,High
303,4,5,22,0,14,41,18,Low
393,39,51,60,1601,98,68,90,High
404,36,48,74,1791,97,88,88,High
405,27,55,77,1033,93,56,82,High
358,10,26,61,683,63,75,51,Normal
300,2,8,27,0,12,19,17,Low
362,13,19,84,871,76,66,56,Normal
293,2,1,19,0,14,36,11,Low
402,35,49,72,1460,93,89,85,High
371,32,56,88,1457,100,93,100,High
385,38,50,72,1672,98,65,82,High
397,27,48,68,1687,97,67,97,High
395,23,52,67,1734,91,97,88,High
316,1,5,15,0,15,29,14,Low
418,28,49,76,1580,99,76,100,High
398,28,43,73,1143,95,67,83,High
349,7,40,56,522,66,96,23,Normal
301,4,7,48,0,5,46,10,Low
307,1,2,41,0,19,11,12,Low
310,3,7,15,0,3,30,19,Low
324,12,22,83,238,89,75,61,Normal
345,14,39,72,746,86,53,56,Normal
287,3,9,22,0,6,13,11,Low
340,17,29,52,598,36,93,61,Normal
418,38,49,77,1108,100,96,77,High
392,35,54,60,1773,100,82,99,High
372,35,48,98,1473,99,60,90,High
337,16,15,73,337,28,94,43,Normal
287,4,2,21,0,4,13,11,Low
401,24,49,79,1805,97,53,96,High
306,3,2,12,0,10,10,12,Low
323,18,15,91,971,83,70,59,Normal
341,10,22,84,447,69,50,51,Normal
406,37,58,98,1968,99,65,89,High
416,37,57,68,1601,95,100,80,High
401,38,44,67,1511,98,87,95,High
304,2,0,25,0,9,42,10,Low
295,2,7,26,0,8,31,19,Low
295,1,1,30,0,13,19,18,Low
398,37,52,61,1436,93,85,91,High
302,2,0,24,0,1,17,19,Low
395,31,42,50,1283,94,61,76,High
356,20,23,72,644,75,68,52,Normal
304,2,6,22,0,2,23,11,Low
364,8,13,100,388,52,51,24,Normal
334,19,14,98,2,38,50,22,Normal
364,14,17,95,675,23,94,21,Normal
373,32,52,79,1462,99,52,84,High
400,21,57,69,1813,99,76,83,High
305,4,7,45,0,10,32,13,Low
347,19,33,60,225,76,83,51,Normal
379,24,60,63,1518,97,79,81,High
378,22,50,88,1451,91,81,85,High
407,24,42,97,1063,92,65,86,High
315,1,6,15,0,12,24,15,Low
316,2,2,41,0,19,38,16,Low
414,29,47,95,1109,93,95,73,High
374,26,54,77,1540,93,84,94,High
393,29,59,51,1795,99,70,79,High
341,17,29,89,977,67,99,20,Normal
399,36,56,56,1920,99,60,78,High
299,2,3,10,0,5,32,15,Low
285,2,9,36,0,5,14,11,Low
386,30,56,73,1617,98,60,74,High
324,13,29,89,929,29,89,63,Normal
305,4,9,28,0,4,27,16,Low
406,30,54,96,1862,97,52,87,High
